date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,odds_home,odds_draw,odds_away,odds_btts_yes,odds_btts_no,odds_over25,odds_under25,odds_ah_line,odds_ah_home,odds_ah_away,league,season
2017-07-14,Aarhus,Horsens,1,2,,,,,,,,,,,,,,,1.58,3.77,5.92,,,,,,,,DNK,2017
2017-07-15,FC Copenhagen,Aalborg,1,1,,,,,,,,,,,,,,,1.59,3.78,5.83,,,,,,,,DNK,2017
2017-07-15,Sonderjyske,Randers FC,0,0,,,,,,,,,,,,,,,2.6,3.16,2.75,,,,,,,,DNK,2017
2017-07-16,Lyngby,Silkeborg,2,1,,,,,,,,,,,,,,,2.11,3.3,3.46,,,,,,,,DNK,2017
2017-07-16,Hobro,Helsingor,2,1,,,,,,,,,,,,,,,1.99,3.33,3.84,,,,,,,,DNK,2017
2017-07-16,Brondby,Midtjylland,4,0,,,,,,,,,,,,,,,2.21,3.49,3.07,,,,,,,,DNK,2017
2017-07-17,Odense,Nordsjaelland,1,2,,,,,,,,,,,,,,,2.07,3.47,3.4,,,,,,,,DNK,2017
2017-07-21,Aarhus,Hobro,2,0,,,,,,,,,,,,,,,1.67,3.78,5.02,,,,,,,,DNK,2017
2017-07-22,Randers FC,FC Copenhagen,0,3,,,,,,,,,,,,,,,3.34,3.11,2.26,,,,,,,,DNK,2017
2017-07-23,Horsens,Lyngby,4,1,,,,,,,,,,,,,,,2.96,3.35,2.33,,,,,,,,DNK,2017
2017-07-23,Aalborg,Sonderjyske,1,4,,,,,,,,,,,,,,,1.96,3.44,3.8,,,,,,,,DNK,2017
2017-07-23,Nordsjaelland,Brondby,3,2,,,,,,,,,,,,,,,3.15,3.53,2.15,,,,,,,,DNK,2017
2017-07-23,Midtjylland,Silkeborg,2,0,,,,,,,,,,,,,,,1.42,4.63,7.06,,,,,,,,DNK,2017
2017-07-24,Helsingor,Odense,0,2,,,,,,,,,,,,,,,3.45,3.29,2.13,,,,,,,,DNK,2017
2017-07-28,Sonderjyske,Helsingor,1,2,,,,,,,,,,,,,,,1.55,4.01,5.95,,,,,,,,DNK,2017
2017-07-29,Odense,Horsens,1,0,,,,,,,,,,,,,,,1.73,3.71,4.6,,,,,,,,DNK,2017
2017-07-29,FC Copenhagen,Hobro,0,0,,,,,,,,,,,,,,,1.37,4.7,8.29,,,,,,,,DNK,2017
2017-07-30,Midtjylland,Randers FC,2,1,,,,,,,,,,,,,,,1.73,3.77,4.53,,,,,,,,DNK,2017
2017-07-30,Nordsjaelland,Aalborg,3,2,,,,,,,,,,,,,,,2.39,3.33,2.87,,,,,,,,DNK,2017
2017-07-30,Brondby,Lyngby,5,3,,,,,,,,,,,,,,,1.45,4.53,6.48,,,,,,,,DNK,2017
2017-07-31,Silkeborg,Aarhus,2,1,,,,,,,,,,,,,,,3.47,3.47,2.05,,,,,,,,DNK,2017
2017-08-04,Horsens,Silkeborg,1,0,,,,,,,,,,,,,,,2.28,3.32,3.08,,,,,,,,DNK,2017
2017-08-05,Hobro,Randers FC,2,0,,,,,,,,,,,,,,,2.75,3.12,2.61,,,,,,,,DNK,2017
2017-08-06,Lyngby,Nordsjaelland,1,4,,,,,,,,,,,,,,,2.48,3.43,2.7,,,,,,,,DNK,2017
2017-08-06,Helsingor,Midtjylland,2,1,,,,,,,,,,,,,,,5.05,4.04,1.62,,,,,,,,DNK,2017
2017-08-06,Odense,Aalborg,0,0,,,,,,,,,,,,,,,2.18,3.31,3.29,,,,,,,,DNK,2017
2017-08-06,Brondby,FC Copenhagen,1,0,,,,,,,,,,,,,,,2.3,3.36,3.0,,,,,,,,DNK,2017
