date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,odds_home,odds_draw,odds_away,odds_btts_yes,odds_btts_no,odds_over25,odds_under25,odds_ah_line,odds_ah_home,odds_ah_away,league,season
2025-07-18,Viborg,FC Copenhagen,2,3,,,,,,,,,,,,,,,5.65,4.11,1.52,,,,,,,,DNK,2025
2025-07-20,Fredericia,Nordsjaelland,2,3,,,,,,,,,,,,,,,3.51,3.56,1.93,,,,,,,,DNK,2025
2025-07-20,Vejle,Randers FC,1,1,,,,,,,,,,,,,,,3.13,3.45,2.12,,,,,,,,DNK,2025
2025-07-20,Sonderjyske,Aarhus,1,1,,,,,,,,,,,,,,,3.8,3.3,1.94,,,,,,,,DNK,2025
2025-07-20,Midtjylland,Odense,3,3,,,,,,,,,,,,,,,1.44,4.56,5.92,,,,,,,,DNK,2025
2025-07-20,Brondby,Silkeborg,3,0,,,,,,,,,,,,,,,1.63,4.0,4.61,,,,,,,,DNK,2025
2025-07-25,Aarhus,Randers FC,1,2,,,,,,,,,,,,,,,1.87,3.54,3.79,,,,,,,,DNK,2025
2025-07-26,FC Copenhagen,Vejle,2,0,,,,,,,,,,,,,,,1.25,5.67,9.81,,,,,,,,DNK,2025
2025-07-27,Odense,Viborg,3,1,,,,,,,,,,,,,,,2.16,3.59,2.95,,,,,,,,DNK,2025
2025-07-27,Silkeborg,Fredericia,0,2,,,,,,,,,,,,,,,1.73,3.73,4.29,,,,,,,,DNK,2025
2025-07-27,Nordsjaelland,Brondby,0,1,,,,,,,,,,,,,,,3.08,3.7,2.06,,,,,,,,DNK,2025
2025-07-28,Midtjylland,Sonderjyske,6,2,,,,,,,,,,,,,,,1.5,4.54,5.22,,,,,,,,DNK,2025
2025-08-01,Fredericia,FC Copenhagen,0,2,,,,,,,,,,,,,,,6.38,4.6,1.42,,,,,,,,DNK,2025
2025-08-01,Vejle,Odense,4,0,,,,,,,,,,,,,,,2.57,3.47,2.48,,,,,,,,DNK,2025
2025-08-03,Randers FC,Silkeborg,1,0,,,,,,,,,,,,,,,1.88,3.66,3.64,,,,,,,,DNK,2025
2025-08-03,Sonderjyske,Nordsjaelland,3,2,,,,,,,,,,,,,,,2.91,3.61,2.17,,,,,,,,DNK,2025
2025-08-03,Aarhus,Midtjylland,0,0,,,,,,,,,,,,,,,2.37,3.55,2.67,,,,,,,,DNK,2025
2025-08-03,Brondby,Viborg,0,2,,,,,,,,,,,,,,,1.69,3.91,4.27,,,,,,,,DNK,2025
2025-08-08,FC Copenhagen,Aarhus,2,3,,,,,,,,,,,,,,,1.79,3.55,4.11,,,,,,,,DNK,2025
2025-08-08,Viborg,Sonderjyske,1,0,,,,,,,,,,,,,,,1.85,3.63,3.78,,,,,,,,DNK,2025
2025-08-10,Midtjylland,Fredericia,3,3,,,,,,,,,,,,,,,1.35,5.2,6.69,,,,,,,,DNK,2025
2025-08-10,Silkeborg,Nordsjaelland,4,2,,,,,,,,,,,,,,,2.53,3.54,2.46,,,,,,,,DNK,2025
2025-08-10,Brondby,Vejle,2,1,,,,,,,,,,,,,,,1.58,4.13,4.8,,,,,,,,DNK,2025
2025-08-11,Odense,Randers FC,3,2,,,,,,,,,,,,,,,2.46,3.42,2.6,,,,,,,,DNK,2025
2025-08-15,Nordsjaelland,FC Copenhagen,1,3,,,,,,,,,,,,,,,4.33,3.8,1.75,,,,,,,,DNK,2025
2025-08-15,Fredericia,Sonderjyske,3,2,,,,,,,,,,,,,,,2.5,3.6,2.6,,,,,,,,DNK,2025
2025-08-17,Vejle,Midtjylland,0,2,,,,,,,,,,,,,,,3.5,3.9,1.91,,,,,,,,DNK,2025
2025-08-17,Viborg,Silkeborg,2,3,,,,,,,,,,,,,,,2.3,3.5,2.8,,,,,,,,DNK,2025
2025-08-17,Randers FC,Brondby,0,2,,,,,,,,,,,,,,,2.8,3.5,2.38,,,,,,,,DNK,2025
2025-08-18,Odense,Aarhus,1,5,,,,,,,,,,,,,,,3.5,3.6,2.0,,,,,,,,DNK,2025
2025-08-23,FC Copenhagen,Odense,1,1,,,,,,,,,,,,,,,1.36,5.0,7.5,,,,,,,,DNK,2025
2025-08-24,Fredericia,Randers FC,1,0,,,,,,,,,,,,,,,3.1,3.6,2.1,,,,,,,,DNK,2025
2025-08-24,Midtjylland,Silkeborg,4,2,,,,,,,,,,,,,,,1.62,4.33,4.5,,,,,,,,DNK,2025
2025-08-24,Sonderjyske,Brondby,2,0,,,,,,,,,,,,,,,3.8,3.8,1.85,,,,,,,,DNK,2025
2025-08-24,Aarhus,Vejle,1,0,,,,,,,,,,,,,,,1.57,3.9,5.75,,,,,,,,DNK,2025
2025-08-25,Nordsjaelland,Viborg,1,0,,,,,,,,,,,,,,,1.85,3.9,3.75,,,,,,,,DNK,2025
2025-08-29,Vejle,Viborg,1,2,,,,,,,,,,,,,,,2.4,3.5,2.6,,,,,,,,DNK,2025
2025-08-31,Aarhus,Fredericia,4,1,,,,,,,,,,,,,,,1.36,5.0,6.5,,,,,,,,DNK,2025
2025-08-31,Silkeborg,Sonderjyske,0,2,,,,,,,,,,,,,,,1.97,3.7,3.3,,,,,,,,DNK,2025
