date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,odds_home,odds_draw,odds_away,odds_btts_yes,odds_btts_no,odds_over25,odds_under25,odds_ah_line,odds_ah_home,odds_ah_away,league,season
2023-04-01,Malmo FF,Kalmar,1,0,,,,,,,,,,,,,,,1.62,3.97,5.28,,,,,,,,SWE,2023
2023-04-01,Djurgarden,Brommapojkarna,3,1,,,,,,,,,,,,,,,1.28,5.7,9.78,,,,,,,,SWE,2023
2023-04-02,Hammarby,Degerfors,3,1,,,,,,,,,,,,,,,1.29,5.66,9.75,,,,,,,,SWE,2023
2023-04-02,Norrkoping,Sirius,1,1,,,,,,,,,,,,,,,1.88,3.65,3.94,,,,,,,,SWE,2023
2023-04-02,Goteborg,Varnamo,0,1,,,,,,,,,,,,,,,1.98,3.53,3.7,,,,,,,,SWE,2023
2023-04-02,Halmstad,AIK,2,1,,,,,,,,,,,,,,,3.27,3.16,2.29,,,,,,,,SWE,2023
2023-04-03,Mjallby,Varberg,2,2,,,,,,,,,,,,,,,1.69,3.51,5.46,,,,,,,,SWE,2023
2023-04-03,Elfsborg,Hacken,0,2,,,,,,,,,,,,,,,2.39,3.66,2.72,,,,,,,,SWE,2023
2023-04-08,Brommapojkarna,Malmo FF,1,2,,,,,,,,,,,,,,,6.75,4.63,1.44,,,,,,,,SWE,2023
2023-04-08,Degerfors,Halmstad,3,1,,,,,,,,,,,,,,,2.44,3.34,2.85,,,,,,,,SWE,2023
2023-04-09,Hacken,Hammarby,3,1,,,,,,,,,,,,,,,2.0,3.67,3.5,,,,,,,,SWE,2023
2023-04-09,Kalmar,Goteborg,2,0,,,,,,,,,,,,,,,1.99,3.32,3.93,,,,,,,,SWE,2023
2023-04-09,Sirius,Djurgarden,0,0,,,,,,,,,,,,,,,3.66,3.5,2.0,,,,,,,,SWE,2023
2023-04-10,Varnamo,Mjallby,0,1,,,,,,,,,,,,,,,2.83,3.18,2.54,,,,,,,,SWE,2023
2023-04-10,AIK,Norrkoping,0,3,,,,,,,,,,,,,,,1.7,3.76,4.9,,,,,,,,SWE,2023
2023-04-10,Varberg,Elfsborg,0,0,,,,,,,,,,,,,,,4.76,3.82,1.7,,,,,,,,SWE,2023
2023-04-15,Elfsborg,Brommapojkarna,5,0,,,,,,,,,,,,,,,1.35,5.37,7.77,,,,,,,,SWE,2023
2023-04-15,Hacken,Kalmar,1,3,,,,,,,,,,,,,,,1.64,4.05,4.98,,,,,,,,SWE,2023
2023-04-16,AIK,Hammarby,2,0,,,,,,,,,,,,,,,2.85,3.12,2.58,,,,,,,,SWE,2023
2023-04-16,Norrkoping,Varnamo,2,1,,,,,,,,,,,,,,,1.7,3.82,4.8,,,,,,,,SWE,2023
2023-04-16,Halmstad,Djurgarden,2,0,,,,,,,,,,,,,,,3.6,3.37,2.07,,,,,,,,SWE,2023
2023-04-16,Mjallby,Degerfors,2,0,,,,,,,,,,,,,,,1.82,3.57,4.31,,,,,,,,SWE,2023
2023-04-17,Varberg,Sirius,1,1,,,,,,,,,,,,,,,3.53,3.23,2.14,,,,,,,,SWE,2023
2023-04-17,Goteborg,Malmo FF,0,1,,,,,,,,,,,,,,,4.61,3.74,1.74,,,,,,,,SWE,2023
2023-04-22,Hammarby,Varberg,2,0,,,,,,,,,,,,,,,1.28,5.5,10.44,,,,,,,,SWE,2023
2023-04-22,Degerfors,Elfsborg,1,2,,,,,,,,,,,,,,,3.51,3.67,2.0,,,,,,,,SWE,2023
