date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,odds_home,odds_draw,odds_away,odds_btts_yes,odds_btts_no,odds_over25,odds_under25,odds_ah_line,odds_ah_home,odds_ah_away,league,season
2017-04-05,HJK,VPS,5,0,,,,,,,,,,,,,,,1.41,4.12,8.47,,,,,,,,FIN,2017
2017-04-05,SJK,Lahti,1,1,,,,,,,,,,,,,,,1.75,3.46,4.76,,,,,,,,FIN,2017
2017-04-08,Ilves,Lahti,1,1,,,,,,,,,,,,,,,2.0,3.16,3.94,,,,,,,,FIN,2017
2017-04-08,Mariehamn,JJK Jyvaskyla,5,2,,,,,,,,,,,,,,,1.45,4.04,7.44,,,,,,,,FIN,2017
2017-04-08,PS Kemi,HIFK,0,0,,,,,,,,,,,,,,,3.25,3.1,2.26,,,,,,,,FIN,2017
2017-04-08,VPS,SJK,1,3,,,,,,,,,,,,,,,3.08,2.95,2.46,,,,,,,,FIN,2017
2017-04-10,HJK,KuPS,2,0,,,,,,,,,,,,,,,1.27,5.4,10.52,,,,,,,,FIN,2017
2017-04-12,Inter Turku,Rovaniemi,6,2,,,,,,,,,,,,,,,1.79,3.4,4.63,,,,,,,,FIN,2017
2017-04-15,SJK,Ilves,1,2,,,,,,,,,,,,,,,1.71,3.43,5.21,,,,,,,,FIN,2017
2017-04-15,HIFK,JJK Jyvaskyla,0,0,,,,,,,,,,,,,,,1.52,3.93,6.35,,,,,,,,FIN,2017
2017-04-15,Mariehamn,HJK,1,1,,,,,,,,,,,,,,,5.21,3.53,1.68,,,,,,,,FIN,2017
2017-04-17,KuPS,Inter Turku,2,1,,,,,,,,,,,,,,,2.32,3.18,3.09,,,,,,,,FIN,2017
2017-04-17,Rovaniemi,VPS,2,4,,,,,,,,,,,,,,,2.47,2.98,3.03,,,,,,,,FIN,2017
2017-04-21,Inter Turku,Mariehamn,1,1,,,,,,,,,,,,,,,2.33,3.17,3.07,,,,,,,,FIN,2017
2017-04-22,Ilves,Rovaniemi,0,2,,,,,,,,,,,,,,,1.56,3.82,6.06,,,,,,,,FIN,2017
2017-04-22,PS Kemi,SJK,3,1,,,,,,,,,,,,,,,5.12,3.53,1.7,,,,,,,,FIN,2017
2017-04-22,VPS,KuPS,2,2,,,,,,,,,,,,,,,2.51,3.07,2.89,,,,,,,,FIN,2017
2017-04-23,JJK Jyvaskyla,HJK,1,5,,,,,,,,,,,,,,,12.88,5.94,1.22,,,,,,,,FIN,2017
2017-04-24,HIFK,Lahti,1,2,,,,,,,,,,,,,,,2.6,3.06,2.8,,,,,,,,FIN,2017
2017-04-28,SJK,HIFK,3,3,,,,,,,,,,,,,,,1.54,3.87,6.11,,,,,,,,FIN,2017
