date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,odds_home,odds_draw,odds_away,odds_btts_yes,odds_btts_no,odds_over25,odds_under25,odds_ah_line,odds_ah_home,odds_ah_away,league,season
2019-03-31,AIK,Ostersunds,0,0,,,,,,,,,,,,,,,1.76,3.21,5.54,,,,,,,,SWE,2019
2019-03-31,Falkenbergs,Orebro,1,0,,,,,,,,,,,,,,,2.71,3.26,2.59,,,,,,,,SWE,2019
2019-03-31,Kalmar,Sirius,0,2,,,,,,,,,,,,,,,1.75,3.52,4.87,,,,,,,,SWE,2019
2019-03-31,AFC Eskilstuna,Goteborg,3,1,,,,,,,,,,,,,,,2.56,3.04,2.92,,,,,,,,SWE,2019
2019-03-31,Helsingborg,Norrkoping,3,1,,,,,,,,,,,,,,,2.79,3.22,2.54,,,,,,,,SWE,2019
2019-04-01,Djurgarden,Sundsvall,2,2,,,,,,,,,,,,,,,1.85,3.35,4.52,,,,,,,,SWE,2019
2019-04-01,Elfsborg,Hammarby,1,1,,,,,,,,,,,,,,,3.03,3.3,2.33,,,,,,,,SWE,2019
2019-04-01,Malmo FF,Hacken,1,1,,,,,,,,,,,,,,,1.94,3.19,4.3,,,,,,,,SWE,2019
2019-04-06,Hacken,Helsingborg,2,1,,,,,,,,,,,,,,,1.57,4.01,5.71,,,,,,,,SWE,2019
2019-04-06,Sundsvall,Malmo FF,3,1,,,,,,,,,,,,,,,4.39,3.41,1.85,,,,,,,,SWE,2019
2019-04-07,Goteborg,Elfsborg,3,0,,,,,,,,,,,,,,,2.5,3.19,2.86,,,,,,,,SWE,2019
2019-04-07,Ostersunds,Falkenbergs,3,2,,,,,,,,,,,,,,,1.49,4.1,6.73,,,,,,,,SWE,2019
2019-04-07,Hammarby,Kalmar,1,1,,,,,,,,,,,,,,,1.75,3.53,4.84,,,,,,,,SWE,2019
2019-04-08,Norrkoping,AIK,0,0,,,,,,,,,,,,,,,2.84,3.05,2.61,,,,,,,,SWE,2019
2019-04-08,Orebro,Djurgarden,0,3,,,,,,,,,,,,,,,3.75,3.34,2.02,,,,,,,,SWE,2019
2019-04-08,Sirius,AFC Eskilstuna,3,2,,,,,,,,,,,,,,,2.22,3.17,3.38,,,,,,,,SWE,2019
2019-04-12,AFC Eskilstuna,Orebro,1,1,,,,,,,,,,,,,,,2.35,3.2,3.08,,,,,,,,SWE,2019
2019-04-13,Falkenbergs,Hacken,0,3,,,,,,,,,,,,,,,6.27,4.47,1.47,,,,,,,,SWE,2019
2019-04-13,Kalmar,Norrkoping,2,2,,,,,,,,,,,,,,,2.94,3.14,2.47,,,,,,,,SWE,2019
2019-04-14,AIK,Sirius,2,1,,,,,,,,,,,,,,,1.38,4.52,8.7,,,,,,,,SWE,2019
2019-04-14,Elfsborg,Sundsvall,3,1,,,,,,,,,,,,,,,2.32,3.32,3.03,,,,,,,,SWE,2019
2019-04-14,Malmo FF,Ostersunds,2,0,,,,,,,,,,,,,,,1.47,4.28,6.83,,,,,,,,SWE,2019
2019-04-15,Djurgarden,Goteborg,2,1,,,,,,,,,,,,,,,1.6,3.87,5.61,,,,,,,,SWE,2019
2019-04-15,Helsingborg,Hammarby,2,1,,,,,,,,,,,,,,,2.68,3.32,2.58,,,,,,,,SWE,2019
2019-04-19,Ostersunds,Elfsborg,1,1,,,,,,,,,,,,,,,2.23,3.24,3.28,,,,,,,,SWE,2019
2019-04-19,Norrkoping,Falkenbergs,4,3,,,,,,,,,,,,,,,1.3,5.33,9.42,,,,,,,,SWE,2019
2019-04-19,Orebro,AIK,2,1,,,,,,,,,,,,,,,4.52,3.16,1.91,,,,,,,,SWE,2019
2019-04-20,Sundsvall,Kalmar,1,2,,,,,,,,,,,,,,,2.31,3.2,3.14,,,,,,,,SWE,2019
2019-04-20,Sirius,Malmo FF,0,1,,,,,,,,,,,,,,,5.4,4.07,1.58,,,,,,,,SWE,2019
2019-04-21,Hacken,Djurgarden,0,1,,,,,,,,,,,,,,,1.83,3.58,4.24,,,,,,,,SWE,2019
2019-04-21,Hammarby,AFC Eskilstuna,3,1,,,,,,,,,,,,,,,1.38,4.68,8.18,,,,,,,,SWE,2019
2019-04-22,Goteborg,Helsingborg,3,1,,,,,,,,,,,,,,,2.41,3.28,2.92,,,,,,,,SWE,2019
2019-04-24,AFC Eskilstuna,Ostersunds,0,1,,,,,,,,,,,,,,,2.93,3.2,2.45,,,,,,,,SWE,2019
2019-04-24,AIK,Hacken,1,0,,,,,,,,,,,,,,,2.19,3.15,3.49,,,,,,,,SWE,2019
2019-04-24,Elfsborg,Orebro,4,2,,,,,,,,,,,,,,,1.71,3.75,4.72,,,,,,,,SWE,2019
2019-04-24,Falkenbergs,Sirius,0,0,,,,,,,,,,,,,,,2.55,3.42,2.64,,,,,,,,SWE,2019
2019-04-24,Malmo FF,Hammarby,4,1,,,,,,,,,,,,,,,1.6,3.9,5.5,,,,,,,,SWE,2019
2019-04-25,Djurgarden,Norrkoping,1,1,,,,,,,,,,,,,,,1.97,3.42,3.8,,,,,,,,SWE,2019
2019-04-25,Helsingborg,Sundsvall,1,1,,,,,,,,,,,,,,,2.01,3.42,3.68,,,,,,,,SWE,2019
2019-04-25,Kalmar,Goteborg,1,1,,,,,,,,,,,,,,,2.3,3.18,3.19,,,,,,,,SWE,2019
2019-04-27,Sirius,Elfsborg,2,4,,,,,,,,,,,,,,,3.01,3.34,2.32,,,,,,,,SWE,2019
2019-04-28,Hacken,AFC Eskilstuna,3,0,,,,,,,,,,,,,,,1.31,5.11,10.13,,,,,,,,SWE,2019
2019-04-28,Hammarby,Djurgarden,2,1,,,,,,,,,,,,,,,2.81,3.2,2.53,,,,,,,,SWE,2019
2019-04-28,Norrkoping,Malmo FF,1,1,,,,,,,,,,,,,,,3.43,3.35,2.12,,,,,,,,SWE,2019
2019-04-29,Goteborg,AIK,3,0,,,,,,,,,,,,,,,3.05,3.04,2.46,,,,,,,,SWE,2019
2019-04-29,Orebro,Kalmar,1,1,,,,,,,,,,,,,,,2.83,3.16,2.55,,,,,,,,SWE,2019
2019-04-29,Ostersunds,Helsingborg,3,0,,,,,,,,,,,,,,,1.99,3.35,3.82,,,,,,,,SWE,2019
2019-04-29,Sundsvall,Falkenbergs,3,1,,,,,,,,,,,,,,,1.64,3.96,5.05,,,,,,,,SWE,2019
2019-05-04,AIK,AFC Eskilstuna,2,1,,,,,,,,,,,,,,,1.52,3.76,7.22,,,,,,,,SWE,2019
2019-05-04,Sirius,Goteborg,2,4,,,,,,,,,,,,,,,3.04,3.22,2.37,,,,,,,,SWE,2019
2019-05-05,Falkenbergs,Malmo FF,1,2,,,,,,,,,,,,,,,8.36,4.86,1.36,,,,,,,,SWE,2019
2019-05-05,Hacken,Sundsvall,1,0,,,,,,,,,,,,,,,1.46,4.36,6.65,,,,,,,,SWE,2019
2019-05-05,Kalmar,Ostersunds,1,1,,,,,,,,,,,,,,,2.11,3.27,3.53,,,,,,,,SWE,2019
2019-05-05,Orebro,Hammarby,2,3,,,,,,,,,,,,,,,4.21,3.8,1.78,,,,,,,,SWE,2019
2019-05-06,Elfsborg,Norrkoping,0,0,,,,,,,,,,,,,,,2.53,3.31,2.74,,,,,,,,SWE,2019
2019-05-06,Helsingborg,Djurgarden,1,1,,,,,,,,,,,,,,,3.47,3.34,2.11,,,,,,,,SWE,2019
2019-05-10,Hammarby,Sirius,2,0,,,,,,,,,,,,,,,1.34,5.08,8.37,,,,,,,,SWE,2019
2019-05-11,Ostersunds,Hacken,1,1,,,,,,,,,,,,,,,3.35,3.38,2.14,,,,,,,,SWE,2019
2019-05-11,AFC Eskilstuna,Falkenbergs,0,0,,,,,,,,,,,,,,,2.25,3.22,3.27,,,,,,,,SWE,2019
2019-05-11,Kalmar,Helsingborg,1,0,,,,,,,,,,,,,,,1.84,3.49,4.33,,,,,,,,SWE,2019
2019-05-11,Sundsvall,Orebro,1,2,,,,,,,,,,,,,,,1.75,3.69,4.55,,,,,,,,SWE,2019
2019-05-12,Djurgarden,AIK,0,2,,,,,,,,,,,,,,,2.66,2.92,2.91,,,,,,,,SWE,2019
2019-05-12,Malmo FF,Elfsborg,4,1,,,,,,,,,,,,,,,1.45,4.38,6.82,,,,,,,,SWE,2019
2019-05-13,Norrkoping,Goteborg,1,2,,,,,,,,,,,,,,,2.28,3.33,3.09,,,,,,,,SWE,2019
2019-05-14,Hammarby,Ostersunds,4,0,,,,,,,,,,,,,,,1.49,4.37,6.2,,,,,,,,SWE,2019
2019-05-15,Elfsborg,AFC Eskilstuna,1,0,,,,,,,,,,,,,,,1.54,3.97,6.11,,,,,,,,SWE,2019
2019-05-15,Falkenbergs,Djurgarden,0,3,,,,,,,,,,,,,,,3.99,3.49,1.9,,,,,,,,SWE,2019
2019-05-15,Hacken,Kalmar,1,0,,,,,,,,,,,,,,,1.84,3.42,4.41,,,,,,,,SWE,2019
2019-05-15,Helsingborg,AIK,1,3,,,,,,,,,,,,,,,3.05,3.04,2.47,,,,,,,,SWE,2019
2019-05-15,Sirius,Sundsvall,1,0,,,,,,,,,,,,,,,2.57,3.23,2.74,,,,,,,,SWE,2019
2019-05-16,Goteborg,Malmo FF,0,0,,,,,,,,,,,,,,,3.17,3.22,2.29,,,,,,,,SWE,2019
2019-05-16,Orebro,Norrkoping,1,2,,,,,,,,,,,,,,,3.75,3.62,1.93,,,,,,,,SWE,2019
2019-05-18,AFC Eskilstuna,Helsingborg,1,1,,,,,,,,,,,,,,,2.94,3.1,2.5,,,,,,,,SWE,2019
2019-05-19,Malmo FF,Kalmar,1,0,,,,,,,,,,,,,,,1.59,3.86,5.83,,,,,,,,SWE,2019
2019-05-19,Sirius,Hacken,3,4,,,,,,,,,,,,,,,4.57,3.71,1.75,,,,,,,,SWE,2019
2019-05-19,Djurgarden,Elfsborg,2,0,,,,,,,,,,,,,,,1.77,3.55,4.69,,,,,,,,SWE,2019
2019-05-20,AIK,Falkenbergs,2,0,,,,,,,,,,,,,,,1.42,4.21,8.39,,,,,,,,SWE,2019
2019-05-20,Goteborg,Hammarby,0,0,,,,,,,,,,,,,,,2.48,3.3,2.82,,,,,,,,SWE,2019
2019-05-20,Norrkoping,Sundsvall,2,0,,,,,,,,,,,,,,,1.54,4.1,5.88,,,,,,,,SWE,2019
2019-05-20,Ostersunds,Orebro,1,3,,,,,,,,,,,,,,,1.88,3.7,3.88,,,,,,,,SWE,2019
2019-05-24,Sundsvall,AIK,1,1,,,,,,,,,,,,,,,3.77,3.15,2.08,,,,,,,,SWE,2019
2019-05-25,Hacken,Goteborg,1,2,,,,,,,,,,,,,,,2.17,3.33,3.32,,,,,,,,SWE,2019
2019-05-25,Malmo FF,AFC Eskilstuna,5,0,,,,,,,,,,,,,,,1.33,5.01,9.2,,,,,,,,SWE,2019
2019-05-25,Helsingborg,Falkenbergs,1,1,,,,,,,,,,,,,,,1.92,3.51,3.91,,,,,,,,SWE,2019
2019-05-26,Djurgarden,Ostersunds,3,1,,,,,,,,,,,,,,,1.57,4.02,5.75,,,,,,,,SWE,2019
2019-05-26,Kalmar,Elfsborg,1,1,,,,,,,,,,,,,,,2.07,3.24,3.69,,,,,,,,SWE,2019
2019-05-27,Hammarby,Norrkoping,2,2,,,,,,,,,,,,,,,2.08,3.5,3.37,,,,,,,,SWE,2019
