date,home_team,away_team,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_xg,away_xg,league,season
2022-07-29,Huddersfield Town,Burnley,2,16,0,7,1,5,13,10,1.0,2.0,,,,,E1,2022-2023
2022-07-30,Blackburn Rovers,Queens Park Rangers,9,4,4,0,6,0,15,9,1.0,1.0,,,,,E1,2022-2023
2022-07-30,Blackpool,Reading,10,12,5,3,3,10,12,7,1.0,0.0,,,,,E1,2022-2023
2022-07-30,Cardiff City,Norwich City,3,6,2,1,1,7,16,9,6.0,2.0,1.0,1.0,,,E1,2022-2023
2022-07-30,Hull City,Bristol City,14,10,4,4,6,3,11,5,0.0,1.0,,,,,E1,2022-2023
2022-07-30,Luton Town,Birmingham City,14,12,4,3,9,6,7,15,0.0,3.0,,,,,E1,2022-2023
2022-07-30,Millwall,Stoke City,13,4,5,2,8,2,14,8,1.0,2.0,,,,,E1,2022-2023
2022-07-30,Rotherham United,Swansea City,9,14,8,5,5,6,12,6,1.0,2.0,,,,,E1,2022-2023
2022-07-30,Wigan Athletic,Preston North End,20,11,5,2,7,4,9,17,2.0,3.0,0.0,1.0,,,E1,2022-2023
2022-07-30,Middlesbrough,West Bromwich Albion,16,12,2,5,4,3,7,9,2.0,1.0,,,,,E1,2022-2023
2022-07-31,Sunderland,Coventry City,10,9,5,2,4,3,16,6,4.0,1.0,,,,,E1,2022-2023
2022-08-01,Watford,Sheffield United,10,6,4,3,5,4,13,8,4.0,3.0,,,,,E1,2022-2023
2022-08-05,Birmingham City,Huddersfield Town,18,9,6,2,6,7,10,10,1.0,2.0,,,,,E1,2022-2023
2022-08-06,Norwich City,Wigan Athletic,22,6,4,3,9,0,6,13,0.0,4.0,,,,,E1,2022-2023
2022-08-06,Bristol City,Sunderland,13,16,5,6,8,9,10,9,2.0,2.0,,,,,E1,2022-2023
2022-08-06,Burnley,Luton Town,12,13,1,2,11,2,10,11,2.0,1.0,,,,,E1,2022-2023
2022-08-06,Preston North End,Hull City,20,6,6,1,4,1,13,10,1.0,4.0,,,,,E1,2022-2023
2022-08-06,Queens Park Rangers,Middlesbrough,10,12,5,3,5,5,12,12,2.0,2.0,0.0,1.0,,,E1,2022-2023
2022-08-06,Reading,Cardiff City,8,6,2,2,1,2,17,16,3.0,3.0,,,,,E1,2022-2023
2022-08-06,Sheffield United,Millwall,19,11,6,1,3,5,12,10,3.0,2.0,,,,,E1,2022-2023
2022-08-06,Stoke City,Blackpool,20,10,7,0,5,6,10,8,2.0,2.0,,,,,E1,2022-2023
2022-08-06,Swansea City,Blackburn Rovers,8,5,5,4,5,4,8,9,3.0,1.0,,,,,E1,2022-2023
2022-08-08,West Bromwich Albion,Watford,19,5,7,3,12,0,7,13,2.0,1.0,,,,,E1,2022-2023
2022-10-25,Coventry City,Rotherham United,21,10,7,4,6,1,7,11,2.0,3.0,,,,,E1,2022-2023
2022-08-12,Watford,Burnley,5,11,1,4,3,6,13,12,1.0,1.0,1.0,0.0,,,E1,2022-2023
2022-08-13,Cardiff City,Birmingham City,16,4,7,0,2,2,9,12,1.0,4.0,,,,,E1,2022-2023
2022-08-13,Blackpool,Swansea City,10,15,4,5,3,6,6,13,1.0,3.0,,,,,E1,2022-2023
2022-08-13,Huddersfield Town,Stoke City,10,18,5,5,3,3,9,9,1.0,3.0,,,,,E1,2022-2023
2022-08-13,Hull City,Norwich City,13,18,4,12,2,11,15,6,1.0,1.0,,,,,E1,2022-2023
2022-08-13,Luton Town,Preston North End,18,7,2,5,8,3,11,12,0.0,6.0,,,,,E1,2022-2023
2022-08-13,Millwall,Coventry City,13,17,6,7,3,6,8,13,4.0,4.0,0.0,1.0,,,E1,2022-2023
2022-08-13,Rotherham United,Reading,11,12,4,6,5,7,5,8,0.0,2.0,,,,,E1,2022-2023
2022-08-13,Sunderland,Queens Park Rangers,16,20,8,4,4,3,12,9,3.0,3.0,,,,,E1,2022-2023
2022-08-13,Wigan Athletic,Bristol City,13,5,3,1,5,1,10,13,1.0,2.0,,,,,E1,2022-2023
2022-08-14,Middlesbrough,Sheffield United,7,4,4,4,5,4,6,13,3.0,4.0,,,,,E1,2022-2023
2022-08-14,Blackburn Rovers,West Bromwich Albion,7,13,2,4,1,5,14,16,4.0,1.0,,,,,E1,2022-2023
2022-08-16,Birmingham City,Watford,7,15,4,2,2,5,12,5,1.0,1.0,,,,,E1,2022-2023
2022-08-16,Bristol City,Luton Town,10,11,3,2,5,7,9,14,2.0,2.0,1.0,0.0,,,E1,2022-2023
2022-08-16,Burnley,Hull City,15,4,5,3,6,2,7,13,1.0,3.0,,,,,E1,2022-2023
2022-08-16,Norwich City,Huddersfield Town,22,11,9,5,8,1,13,5,1.0,0.0,0.0,1.0,,,E1,2022-2023
2022-08-16,Preston North End,Rotherham United,21,5,6,1,10,3,5,11,1.0,3.0,,,,,E1,2022-2023
2022-08-16,Swansea City,Millwall,17,15,9,1,6,7,8,8,2.0,3.0,,,,,E1,2022-2023
2022-08-16,Queens Park Rangers,Blackpool,12,14,6,4,2,2,10,13,1.0,2.0,,,,,E1,2022-2023
2022-08-17,Stoke City,Middlesbrough,9,15,4,4,4,8,12,10,2.0,1.0,,,,,E1,2022-2023
2022-08-17,Reading,Blackburn Rovers,12,8,7,1,7,3,8,7,5.0,2.0,,,,,E1,2022-2023
2022-08-17,Sheffield United,Sunderland,22,4,7,2,13,3,7,13,1.0,4.0,0.0,1.0,,,E1,2022-2023
2022-08-17,West Bromwich Albion,Cardiff City,13,6,5,0,9,2,12,10,3.0,3.0,,,,,E1,2022-2023
2022-11-08,Coventry City,Wigan Athletic,14,6,2,0,6,4,11,15,2.0,1.0,,,,,E1,2022-2023
2022-08-19,Norwich City,Millwall,18,10,3,2,5,4,4,16,2.0,2.0,,,,,E1,2022-2023
2022-08-20,Birmingham City,Wigan Athletic,14,5,4,2,7,3,11,8,0.0,2.0,0.0,1.0,,,E1,2022-2023
2022-08-20,Burnley,Blackpool,13,12,4,8,4,6,10,13,1.0,3.0,1.0,1.0,,,E1,2022-2023
2022-08-20,Preston North End,Watford,10,12,4,2,7,5,14,9,2.0,2.0,,,,,E1,2022-2023
2022-08-20,Queens Park Rangers,Rotherham United,17,6,5,2,9,3,11,11,3.0,2.0,,,,,E1,2022-2023
2022-08-20,Reading,Middlesbrough,8,16,3,3,5,7,8,15,4.0,1.0,,,,,E1,2022-2023
2022-08-20,Sheffield United,Blackburn Rovers,22,3,11,0,11,4,8,8,3.0,2.0,,,,,E1,2022-2023
2022-08-20,Stoke City,Sunderland,15,12,3,2,7,3,14,14,3.0,6.0,,,,,E1,2022-2023
2022-08-20,Swansea City,Luton Town,14,7,2,5,7,5,7,12,1.0,0.0,,,,,E1,2022-2023
2022-08-20,West Bromwich Albion,Hull City,16,7,7,5,12,2,2,12,0.0,3.0,,,,,E1,2022-2023
2022-08-21,Bristol City,Cardiff City,15,10,3,3,7,8,12,12,4.0,3.0,,,,,E1,2022-2023
2023-01-28,Coventry City,Huddersfield Town,9,6,5,4,6,3,13,13,1.0,2.0,,,,,E1,2022-2023
2022-08-26,Luton Town,Sheffield United,12,12,4,3,4,9,11,8,0.0,4.0,,,,,E1,2022-2023
2022-08-27,Sunderland,Norwich City,20,12,6,3,8,7,11,9,2.0,2.0,,,,,E1,2022-2023
2022-08-27,Blackburn Rovers,Stoke City,18,8,2,3,12,3,8,14,3.0,3.0,,,,,E1,2022-2023
2022-08-27,Blackpool,Bristol City,19,13,4,4,5,3,15,17,1.0,5.0,,,,,E1,2022-2023
2022-08-27,Cardiff City,Preston North End,22,5,2,0,8,2,5,8,0.0,2.0,,,,,E1,2022-2023
2022-08-27,Huddersfield Town,West Bromwich Albion,11,16,3,6,6,4,2,6,1.0,2.0,,,,,E1,2022-2023
2022-08-27,Hull City,Coventry City,9,15,4,7,3,4,9,6,3.0,2.0,,,,,E1,2022-2023
2022-08-27,Middlesbrough,Swansea City,7,9,3,4,8,4,13,14,5.0,4.0,0.0,1.0,,,E1,2022-2023
2022-08-27,Millwall,Reading,13,5,1,2,3,1,11,13,0.0,1.0,,,,,E1,2022-2023
2022-08-27,Rotherham United,Birmingham City,20,10,6,3,7,2,7,13,1.0,2.0,,,,,E1,2022-2023
2022-08-27,Watford,Queens Park Rangers,12,10,5,5,1,4,9,9,4.0,3.0,,,,,E1,2022-2023
2022-08-27,Wigan Athletic,Burnley,18,8,4,6,6,1,8,8,1.0,1.0,,,,,E1,2022-2023
2022-08-30,Birmingham City,Norwich City,9,14,2,5,6,8,15,5,4.0,4.0,,,,,E1,2022-2023
2022-08-30,Burnley,Millwall,22,12,10,5,5,3,7,15,0.0,3.0,,,,,E1,2022-2023
2022-08-30,Cardiff City,Luton Town,17,14,2,4,5,2,9,15,0.0,3.0,,,,,E1,2022-2023
2022-08-30,Queens Park Rangers,Hull City,11,7,7,3,2,7,4,12,1.0,1.0,,,,,E1,2022-2023
2022-08-30,Sheffield United,Reading,18,4,7,0,3,5,13,7,,,,,,,E1,2022-2023
2022-08-30,Wigan Athletic,West Bromwich Albion,8,8,3,3,3,2,12,12,2.0,2.0,,,,,E1,2022-2023
2022-08-30,Watford,Middlesbrough,14,14,4,3,2,7,13,9,2.0,4.0,,,,,E1,2022-2023
2022-08-31,Bristol City,Huddersfield Town,12,12,7,4,4,7,6,3,,,,,,,E1,2022-2023
2022-08-31,Coventry City,Preston North End,13,13,4,4,9,6,7,8,1.0,2.0,,,,,E1,2022-2023
2022-08-31,Stoke City,Swansea City,20,10,4,5,12,2,12,8,1.0,2.0,,,,,E1,2022-2023
2022-08-31,Sunderland,Rotherham United,17,7,4,3,2,1,8,13,0.0,4.0,,,,,E1,2022-2023
2022-08-31,Blackpool,Blackburn Rovers,13,18,1,5,7,5,9,15,2.0,3.0,,,,,E1,2022-2023
2022-09-02,West Bromwich Albion,Burnley,23,11,8,4,9,1,12,10,1.0,4.0,,,,,E1,2022-2023
2022-09-03,Blackburn Rovers,Bristol City,11,16,6,5,5,6,8,10,2.0,2.0,,,,,E1,2022-2023
2022-09-03,Luton Town,Wigan Athletic,15,9,4,1,9,4,10,7,1.0,1.0,,,,,E1,2022-2023
2022-09-03,Millwall,Cardiff City,16,12,7,2,4,6,9,15,2.0,2.0,,,,,E1,2022-2023
2022-09-03,Norwich City,Coventry City,14,6,7,1,4,1,8,4,1.0,0.0,,,,,E1,2022-2023
2022-09-03,Preston North End,Birmingham City,10,8,3,3,4,6,14,12,1.0,3.0,,,,,E1,2022-2023
2022-09-03,Rotherham United,Watford,9,12,3,2,3,6,12,11,3.0,2.0,,,,,E1,2022-2023
2022-09-03,Swansea City,Queens Park Rangers,13,8,4,3,6,4,8,9,3.0,0.0,,,,,E1,2022-2023
2022-09-04,Reading,Stoke City,11,11,3,3,4,6,5,15,2.0,0.0,,,,,E1,2022-2023
2022-09-04,Huddersfield Town,Blackpool,15,7,6,2,10,2,8,4,0.0,3.0,,,,,E1,2022-2023
2022-09-04,Hull City,Sheffield United,11,12,3,5,6,1,8,14,1.0,2.0,,,,,E1,2022-2023
2022-09-05,Middlesbrough,Sunderland,15,8,5,2,4,6,10,11,5.0,1.0,,,,,E1,2022-2023
2022-10-11,Wigan Athletic,Blackburn Rovers,13,3,6,0,2,1,11,10,2.0,1.0,,,,,E1,2022-2023
