date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,odds_home,odds_draw,odds_away,odds_btts_yes,odds_btts_no,odds_over25,odds_under25,odds_ah_line,odds_ah_home,odds_ah_away,league,season
2009-08-15,Aberdeen,Celtic,1,3,0,3,3,22,1,13,4,8,13,8,1,0,0,0,5.0,3.75,1.67,,,,,,,,SC0,2009-10
2009-08-15,Hibernian,St Mirren,2,1,1,1,21,4,11,1,7,3,15,10,2,2,0,1,1.83,3.4,4.5,,,,,,,,SC0,2009-10
2009-08-15,Kilmarnock,Hamilton,3,0,1,0,9,8,5,3,4,4,11,10,0,1,0,0,1.85,3.4,4.33,,,,,,,,SC0,2009-10
2009-08-15,Rangers,Falkirk,4,1,2,1,19,12,13,8,7,5,7,13,3,1,0,0,1.2,6.0,15.0,,,,,,,,SC0,2009-10
2009-08-15,St Johnstone,Motherwell,2,2,1,0,14,10,6,6,3,5,12,6,4,4,0,0,2.7,3.2,2.6,,,,,,,,SC0,2009-10
2009-08-17,Dundee United,Hearts,2,0,1,0,8,9,3,5,4,6,21,13,3,4,0,1,2.25,3.3,3.1,,,,,,,,SC0,2009-10
2009-08-22,Celtic,St Johnstone,5,2,2,1,16,7,10,4,6,2,11,9,0,1,0,0,1.17,7.0,17.0,,,,,,,,SC0,2009-10
2009-08-22,Falkirk,Hibernian,1,3,1,1,9,10,3,6,9,4,10,19,3,6,0,0,2.6,3.3,2.63,,,,,,,,SC0,2009-10
2009-08-22,Hamilton,Aberdeen,0,3,0,2,10,17,4,10,3,3,16,9,2,3,0,0,2.75,3.3,2.5,,,,,,,,SC0,2009-10
2009-08-22,Motherwell,Kilmarnock,3,1,2,0,14,12,6,6,10,0,8,14,1,3,0,0,2.1,3.3,3.5,,,,,,,,SC0,2009-10
2009-08-22,St Mirren,Dundee United,0,0,0,0,10,9,5,2,3,8,13,12,1,0,0,0,3.2,3.25,2.25,,,,,,,,SC0,2009-10
2009-08-23,Hearts,Rangers,1,2,1,0,19,8,8,3,3,4,16,14,4,2,0,1,5.25,3.6,1.67,,,,,,,,SC0,2009-10
2009-08-29,Aberdeen,Motherwell,0,0,0,0,3,9,0,1,8,4,14,8,1,0,0,0,2.1,3.3,3.5,,,,,,,,SC0,2009-10
2009-08-29,Dundee United,Falkirk,2,1,0,0,12,7,6,2,10,3,15,13,2,1,0,0,1.67,3.6,5.5,,,,,,,,SC0,2009-10
2009-08-29,Kilmarnock,St Mirren,1,2,1,0,8,7,5,6,8,5,13,19,2,1,0,0,2.0,3.25,4.0,,,,,,,,SC0,2009-10
2009-08-29,Rangers,Hamilton,4,1,2,0,20,4,12,2,6,4,12,14,0,1,0,0,1.14,7.5,19.0,,,,,,,,SC0,2009-10
2009-08-30,Hibernian,Celtic,0,1,0,1,13,14,5,5,6,8,14,16,3,3,0,1,5.5,3.75,1.62,,,,,,,,SC0,2009-10
2009-08-30,St Johnstone,Hearts,2,2,1,0,13,10,9,5,2,9,16,14,3,4,0,0,3.1,3.3,2.3,,,,,,,,SC0,2009-10
2009-09-12,Celtic,Dundee United,1,1,1,1,6,6,3,2,8,6,10,21,1,4,0,1,1.25,5.5,13.0,,,,,,,,SC0,2009-10
