date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,odds_home,odds_draw,odds_away,odds_btts_yes,odds_btts_no,odds_over25,odds_under25,odds_ah_line,odds_ah_home,odds_ah_away,league,season
2007-08-17,Heerenveen,Willem II,0,0,0,0,,,,,,,,,,,,,1.53,3.5,5.75,,,,,,,,N1,2007-08
2007-08-18,AZ Alkmaar,VVV Venlo,4,0,2,0,,,,,,,,,,,,,1.2,5.5,11.0,,,,,,,,N1,2007-08
2007-08-18,Excelsior,Twente,0,2,0,1,,,,,,,,,,,,,4.5,3.5,1.65,,,,,,,,N1,2007-08
2007-08-18,NAC Breda,Groningen,0,3,0,1,,,,,,,,,,,,,2.3,3.2,2.7,,,,,,,,N1,2007-08
2007-08-18,Nijmegen,Roda JC,1,1,1,0,,,,,,,,,,,,,2.3,3.2,2.7,,,,,,,,N1,2007-08
2007-08-19,Graafschap,Ajax,1,8,0,2,,,,,,,,,,,,,5.0,3.6,1.57,,,,,,,,N1,2007-08
2007-08-19,Heracles,PSV Eindhoven,0,2,0,0,,,,,,,,,,,,,7.0,4.0,1.4,,,,,,,,N1,2007-08
2007-08-19,Sparta,Vitesse,1,2,1,0,,,,,,,,,,,,,2.37,3.2,2.6,,,,,,,,N1,2007-08
2007-08-19,Utrecht,Feyenoord,0,3,0,1,,,,,,,,,,,,,3.1,3.3,2.0,,,,,,,,N1,2007-08
2007-08-24,Roda JC,Heracles,2,1,1,0,,,,,,,,,,,,,1.61,3.75,5.25,,,,,,,,N1,2007-08
2007-08-25,PSV Eindhoven,Nijmegen,5,0,2,0,,,,,,,,,,,,,1.2,5.5,10.0,,,,,,,,N1,2007-08
2007-08-25,Vitesse,AZ Alkmaar,1,0,1,0,,,,,,,,,,,,,4.75,4.0,1.61,,,,,,,,N1,2007-08
2007-08-25,VVV Venlo,Excelsior,3,1,1,1,,,,,,,,,,,,,2.0,3.3,3.2,,,,,,,,N1,2007-08
2007-08-25,Willem II,Sparta,2,2,2,1,,,,,,,,,,,,,1.95,3.4,3.3,,,,,,,,N1,2007-08
2007-08-26,Ajax,Heerenveen,4,1,2,1,,,,,,,,,,,,,1.3,4.5,8.0,,,,,,,,N1,2007-08
2007-08-26,Feyenoord,NAC Breda,5,0,1,0,,,,,,,,,,,,,1.28,4.5,9.5,,,,,,,,N1,2007-08
2007-08-26,Groningen,Graafschap,0,2,0,0,,,,,,,,,,,,,1.25,4.75,10.0,,,,,,,,N1,2007-08
2007-08-26,Twente,Utrecht,2,2,1,1,,,,,,,,,,,,,1.5,3.8,6.0,,,,,,,,N1,2007-08
2007-08-31,AZ Alkmaar,Excelsior,3,0,2,0,,,,,,,,,,,,,1.16,6.0,12.0,,,,,,,,N1,2007-08
2007-09-01,Feyenoord,Willem II,2,0,2,0,,,,,,,,,,,,,1.14,7.0,16.0,,,,,,,,N1,2007-08
2007-09-01,Heerenveen,Sparta,3,3,1,1,,,,,,,,,,,,,1.5,3.75,5.5,,,,,,,,N1,2007-08
2007-09-01,NAC Breda,Heracles,4,1,0,0,,,,,,,,,,,,,1.83,3.4,3.6,,,,,,,,N1,2007-08
2007-09-01,Twente,PSV Eindhoven,0,0,0,0,,,,,,,,,,,,,3.6,3.6,1.9,,,,,,,,N1,2007-08
2007-09-02,Ajax,Groningen,2,2,1,1,,,,,,,,,,,,,1.28,5.0,10.0,,,,,,,,N1,2007-08
2007-09-02,Utrecht,Graafschap,2,2,1,0,,,,,,,,,,,,,1.53,3.6,5.75,,,,,,,,N1,2007-08
2007-09-02,Vitesse,Nijmegen,1,0,1,0,,,,,,,,,,,,,1.83,3.5,4.0,,,,,,,,N1,2007-08
2007-09-02,VVV Venlo,Roda JC,3,5,3,2,,,,,,,,,,,,,3.2,3.3,2.0,,,,,,,,N1,2007-08
2007-09-14,Groningen,Utrecht,0,2,0,0,,,,,,,,,,,,,2.0,3.5,3.6,,,,,,,,N1,2007-08
2007-09-15,Excelsior,Heerenveen,2,5,2,3,,,,,,,,,,,,,3.25,3.25,2.0,,,,,,,,N1,2007-08
2007-09-15,Graafschap,VVV Venlo,3,2,2,0,,,,,,,,,,,,,1.75,3.3,4.0,,,,,,,,N1,2007-08
2007-09-15,Heracles,Ajax,0,1,0,0,,,,,,,,,,,,,6.5,3.75,1.44,,,,,,,,N1,2007-08
2007-09-15,PSV Eindhoven,Vitesse,1,0,1,0,,,,,,,,,,,,,1.25,5.75,13.0,,,,,,,,N1,2007-08
2007-09-16,Nijmegen,NAC Breda,0,1,0,1,,,,,,,,,,,,,2.1,3.25,3.0,,,,,,,,N1,2007-08
2007-09-16,Roda JC,Feyenoord,1,3,1,0,,,,,,,,,,,,,3.6,3.6,1.95,,,,,,,,N1,2007-08
2007-09-16,Sparta,AZ Alkmaar,2,2,1,0,,,,,,,,,,,,,5.0,3.5,1.57,,,,,,,,N1,2007-08
2007-09-16,Willem II,Twente,1,3,1,2,,,,,,,,,,,,,3.25,3.25,2.0,,,,,,,,N1,2007-08
2007-09-21,VVV Venlo,NAC Breda,1,3,0,1,,,,,,,,,,,,,2.62,3.2,2.37,,,,,,,,N1,2007-08
2007-09-22,Sparta,Heracles,1,1,1,0,,,,,,,,,,,,,1.75,3.25,4.2,,,,,,,,N1,2007-08
2007-09-22,Vitesse,Graafschap,0,2,0,0,,,,,,,,,,,,,1.53,3.5,6.0,,,,,,,,N1,2007-08
2007-09-22,Willem II,Roda JC,1,0,1,0,,,,,,,,,,,,,3.2,3.25,2.05,,,,,,,,N1,2007-08
2007-09-23,AZ Alkmaar,Ajax,2,3,1,2,,,,,,,,,,,,,2.05,3.25,3.1,,,,,,,,N1,2007-08
2007-09-23,Excelsior,Groningen,1,3,1,1,,,,,,,,,,,,,3.6,3.4,1.83,,,,,,,,N1,2007-08
2007-09-23,Heerenveen,Utrecht,2,3,0,1,,,,,,,,,,,,,1.7,3.3,4.5,,,,,,,,N1,2007-08
2007-09-23,PSV Eindhoven,Feyenoord,4,0,3,0,,,,,,,,,,,,,1.83,3.4,3.75,,,,,,,,N1,2007-08
2007-09-23,Twente,Nijmegen,3,0,2,0,,,,,,,,,,,,,1.4,3.8,8.0,,,,,,,,N1,2007-08
2007-09-29,Feyenoord,Heerenveen,2,0,2,0,,,,,,,,,,,,,1.33,4.2,7.5,,,,,,,,N1,2007-08
2007-09-29,Groningen,Sparta,1,0,0,0,,,,,,,,,,,,,1.57,3.5,5.25,,,,,,,,N1,2007-08
2007-09-29,NAC Breda,PSV Eindhoven,1,1,0,0,,,,,,,,,,,,,5.75,3.6,1.5,,,,,,,,N1,2007-08
2007-09-29,Roda JC,Excelsior,3,3,2,0,,,,,,,,,,,,,1.28,4.5,9.0,,,,,,,,N1,2007-08
2007-09-30,Ajax,VVV Venlo,6,1,4,1,,,,,,,,,,,,,1.11,7.0,13.0,,,,,,,,N1,2007-08
2007-09-30,Graafschap,Twente,0,0,0,0,,,,,,,,,,,,,3.4,3.25,1.95,,,,,,,,N1,2007-08
2007-09-30,Heracles,AZ Alkmaar,2,1,1,1,,,,,,,,,,,,,7.0,3.75,1.44,,,,,,,,N1,2007-08
2007-09-30,Nijmegen,Willem II,1,0,0,0,,,,,,,,,,,,,1.9,3.25,3.6,,,,,,,,N1,2007-08
2007-09-30,Utrecht,Vitesse,2,4,0,2,,,,,,,,,,,,,1.85,3.2,3.8,,,,,,,,N1,2007-08
2007-10-05,VVV Venlo,Utrecht,1,2,0,1,,,,,,,,,,,,,3.3,3.5,2.1,,,,,,,,N1,2007-08
2007-10-06,Excelsior,Nijmegen,2,0,0,0,,,,,,,,,,,,,2.87,3.2,2.3,,,,,,,,N1,2007-08
2007-10-06,NAC Breda,Graafschap,1,0,1,0,,,,,,,,,,,,,1.85,3.4,3.75,,,,,,,,N1,2007-08
2007-10-06,PSV Eindhoven,Willem II,3,0,2,0,,,,,,,,,,,,,1.16,6.0,13.0,,,,,,,,N1,2007-08
2007-10-07,AZ Alkmaar,Groningen,2,2,1,0,,,,,,,,,,,,,1.4,3.8,7.0,,,,,,,,N1,2007-08
2007-10-07,Heerenveen,Heracles,9,0,3,0,,,,,,,,,,,,,1.5,3.75,6.0,,,,,,,,N1,2007-08
2007-10-07,Sparta,Ajax,2,2,0,0,,,,,,,,,,,,,7.5,4.5,1.33,,,,,,,,N1,2007-08
2007-10-07,Twente,Roda JC,0,1,0,0,,,,,,,,,,,,,1.65,3.3,5.0,,,,,,,,N1,2007-08
2007-10-07,Vitesse,Feyenoord,0,1,0,0,,,,,,,,,,,,,3.5,3.3,1.9,,,,,,,,N1,2007-08
2007-10-19,Graafschap,Sparta,4,0,0,0,,,,,,,,,,,,,2.0,3.6,3.5,,,,,,,,N1,2007-08
2007-10-20,Ajax,Nijmegen,0,0,0,0,,,,,,,,,,,,,1.16,6.0,13.0,,,,,,,,N1,2007-08
2007-10-20,Feyenoord,Excelsior,1,0,0,0,,,,,,,,,,,,,1.16,6.0,13.0,,,,,,,,N1,2007-08
2007-10-20,Heracles,Vitesse,2,2,1,0,,,,,,,,,,,,,2.7,3.2,2.4,,,,,,,,N1,2007-08
2007-10-20,PSV Eindhoven,VVV Venlo,3,1,1,0,,,,,,,,,,,,,1.1,7.0,21.0,,,,,,,,N1,2007-08
2007-10-21,AZ Alkmaar,Heerenveen,0,1,0,0,,,,,,,,,,,,,1.66,3.5,4.75,,,,,,,,N1,2007-08
2007-10-21,Groningen,Twente,1,0,0,0,,,,,,,,,,,,,2.4,3.25,2.7,,,,,,,,N1,2007-08
2007-10-21,Roda JC,Utrecht,1,1,1,0,,,,,,,,,,,,,2.0,3.3,3.5,,,,,,,,N1,2007-08
2007-10-21,Willem II,NAC Breda,0,0,0,0,,,,,,,,,,,,,2.6,3.25,2.5,,,,,,,,N1,2007-08
2007-10-26,Vitesse,Willem II,1,0,0,0,,,,,,,,,,,,,1.61,3.75,5.5,,,,,,,,N1,2007-08
2007-10-27,Excelsior,Heracles,1,1,1,1,,,,,,,,,,,,,2.25,3.4,2.8,,,,,,,,N1,2007-08
2007-10-27,Roda JC,Graafschap,1,0,0,0,,,,,,,,,,,,,1.66,3.4,4.6,,,,,,,,N1,2007-08
2007-10-27,Twente,Feyenoord,2,0,1,0,,,,,,,,,,,,,3.0,3.3,2.15,,,,,,,,N1,2007-08
2007-10-27,VVV Venlo,Heerenveen,0,4,0,2,,,,,,,,,,,,,4.5,3.5,1.66,,,,,,,,N1,2007-08
2007-10-28,NAC Breda,AZ Alkmaar,2,3,1,2,,,,,,,,,,,,,2.87,3.4,2.2,,,,,,,,N1,2007-08
2007-10-28,Nijmegen,Groningen,5,1,1,1,,,,,,,,,,,,,2.5,3.25,2.6,,,,,,,,N1,2007-08
2007-10-28,Sparta,PSV Eindhoven,1,4,0,3,,,,,,,,,,,,,7.5,3.7,1.44,,,,,,,,N1,2007-08
2007-10-28,Utrecht,Ajax,0,1,0,0,,,,,,,,,,,,,3.8,3.4,1.85,,,,,,,,N1,2007-08
2007-11-02,Willem II,VVV Venlo,1,2,1,0,,,,,,,,,,,,,1.57,3.8,6.0,,,,,,,,N1,2007-08
2007-11-03,AZ Alkmaar,Nijmegen,4,0,3,0,,,,,,,,,,,,,1.33,4.33,9.5,,,,,,,,N1,2007-08
2007-11-03,Excelsior,Sparta,4,3,2,2,,,,,,,,,,,,,2.4,3.25,2.62,,,,,,,,N1,2007-08
2007-11-03,Heerenveen,PSV Eindhoven,2,1,1,1,,,,,,,,,,,,,3.25,3.4,2.05,,,,,,,,N1,2007-08
2007-11-04,Ajax,Roda JC,4,2,2,1,,,,,,,,,,,,,1.36,4.2,8.5,,,,,,,,N1,2007-08
2007-11-04,Feyenoord,Graafschap,2,0,0,0,,,,,,,,,,,,,1.22,5.5,10.0,,,,,,,,N1,2007-08
2007-11-04,Groningen,Vitesse,0,0,0,0,,,,,,,,,,,,,1.85,3.4,3.8,,,,,,,,N1,2007-08
2007-11-04,Heracles,Twente,0,3,0,1,,,,,,,,,,,,,4.0,3.4,1.83,,,,,,,,N1,2007-08
2007-11-04,Utrecht,NAC Breda,0,1,0,0,,,,,,,,,,,,,1.9,3.3,3.75,,,,,,,,N1,2007-08
2007-11-09,Nijmegen,Heracles,3,0,1,0,,,,,,,,,,,,,1.65,3.8,5.0,,,,,,,,N1,2007-08
2007-11-10,Graafschap,Excelsior,1,1,1,0,,,,,,,,,,,,,1.7,3.5,4.5,,,,,,,,N1,2007-08
2007-11-10,Twente,NAC Breda,1,1,1,1,,,,,,,,,,,,,1.57,3.8,6.0,,,,,,,,N1,2007-08
2007-11-10,VVV Venlo,Sparta,2,0,0,0,,,,,,,,,,,,,2.3,3.3,2.75,,,,,,,,N1,2007-08
2007-11-10,Willem II,Utrecht,1,4,0,2,,,,,,,,,,,,,2.62,3.3,2.37,,,,,,,,N1,2007-08
2007-11-11,Feyenoord,Ajax,2,2,1,0,,,,,,,,,,,,,2.35,3.3,3.0,,,,,,,,N1,2007-08
2007-11-11,PSV Eindhoven,AZ Alkmaar,1,1,0,1,,,,,,,,,,,,,1.8,3.6,4.33,,,,,,,,N1,2007-08
2007-11-11,Roda JC,Groningen,5,1,3,1,,,,,,,,,,,,,1.9,3.4,3.6,,,,,,,,N1,2007-08
2007-11-11,Vitesse,Heerenveen,0,1,0,0,,,,,,,,,,,,,2.6,3.3,2.4,,,,,,,,N1,2007-08
2007-11-23,NAC Breda,Roda JC,0,0,0,0,,,,,,,,,,,,,2.6,3.4,2.6,,,,,,,,N1,2007-08
2007-11-24,AZ Alkmaar,Willem II,2,0,2,0,,,,,,,,,,,,,1.22,5.25,11.0,,,,,,,,N1,2007-08
2007-11-24,Excelsior,PSV Eindhoven,1,4,0,1,,,,,,,,,,,,,8.0,4.75,1.36,,,,,,,,N1,2007-08
2007-11-24,Heerenveen,Graafschap,2,3,1,2,,,,,,,,,,,,,1.53,3.6,6.0,,,,,,,,N1,2007-08
2007-11-24,Heracles,VVV Venlo,0,0,0,0,,,,,,,,,,,,,1.75,3.6,4.0,,,,,,,,N1,2007-08
2007-11-25,Ajax,Vitesse,4,1,3,1,,,,,,,,,,,,,1.28,5.25,11.0,,,,,,,,N1,2007-08
2007-11-25,Groningen,Feyenoord,3,2,0,1,,,,,,,,,,,,,3.4,3.4,2.0,,,,,,,,N1,2007-08
