date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,odds_home,odds_draw,odds_away,odds_btts_yes,odds_btts_no,odds_over25,odds_under25,odds_ah_line,odds_ah_home,odds_ah_away,league,season
2017-08-11,Den Haag,Utrecht,0,3,0,1,17,16,6,8,8,5,11,12,2,1,0,0,3.6,3.4,2.05,,,,,,,,N1,2017-18
2017-08-12,Heracles,Ajax,2,1,0,0,14,29,8,11,3,8,15,16,1,1,0,0,7.0,4.33,1.44,,,,,,,,N1,2017-18
2017-08-12,PSV Eindhoven,AZ Alkmaar,3,2,1,1,25,15,9,8,10,7,10,16,0,3,0,0,1.4,4.75,7.0,,,,,,,,N1,2017-18
2017-08-12,Vitesse,NAC Breda,4,1,3,0,16,5,6,4,9,3,7,12,0,1,0,0,1.53,4.2,5.75,,,,,,,,N1,2017-18
2017-08-12,VVV Venlo,Sparta Rotterdam,3,0,1,0,12,8,6,2,3,5,15,15,0,1,0,1,2.25,3.3,3.2,,,,,,,,N1,2017-18
2017-08-13,Feyenoord,Twente,2,1,1,1,15,7,7,3,4,1,10,24,2,4,0,0,1.25,5.5,12.0,,,,,,,,N1,2017-18
2017-08-13,Groningen,Heerenveen,3,3,0,2,16,19,5,8,6,6,11,15,1,2,0,0,2.2,3.5,3.1,,,,,,,,N1,2017-18
2017-08-13,Willem II,Excelsior,1,2,0,1,9,9,2,3,8,1,7,13,3,3,0,0,2.05,3.5,3.4,,,,,,,,N1,2017-18
2017-08-13,Zwolle,Roda,4,2,1,1,29,10,10,6,7,2,8,9,0,1,0,0,1.85,3.6,4.0,,,,,,,,N1,2017-18
2017-08-18,Roda,Vitesse,1,3,0,1,15,10,4,4,5,9,17,14,1,2,0,0,3.6,3.75,1.91,,,,,,,,N1,2017-18
2017-08-19,AZ Alkmaar,Den Haag,2,0,1,0,32,6,9,1,8,8,12,11,2,3,0,1,1.36,5.0,7.5,,,,,,,,N1,2017-18
2017-08-19,Heerenveen,Heracles,1,1,0,1,19,7,6,3,10,3,15,13,3,0,0,0,1.62,4.0,5.25,,,,,,,,N1,2017-18
2017-08-19,Twente,VVV Venlo,1,2,0,2,11,9,4,5,3,6,7,5,2,2,0,0,1.73,3.8,4.5,,,,,,,,N1,2017-18
2017-08-20,Ajax,Groningen,3,1,1,0,27,7,7,2,12,2,9,11,0,3,0,0,1.25,5.5,12.0,,,,,,,,N1,2017-18
