date,home_team,away_team,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_xg,away_xg,league,season
2021-08-06,Bournemouth,West Bromwich Albion,7,15,4,5,4,8,11,13,1.0,3.0,,,,,E1,2021-2022
2021-08-07,Blackburn Rovers,Swansea City,21,7,10,4,7,5,11,10,4.0,2.0,,,,,E1,2021-2022
2021-08-07,Bristol City,Blackpool,11,7,2,1,2,4,10,13,2.0,0.0,,,,,E1,2021-2022
2021-08-07,Cardiff City,Barnsley,10,10,6,3,2,4,7,6,,,,,,,E1,2021-2022
2021-08-07,Derby County,Huddersfield Town,11,17,3,6,4,6,17,15,3.0,2.0,,,,,E1,2021-2022
2021-08-07,Luton Town,Peterborough United,12,4,6,1,7,2,18,7,1.0,5.0,,,,,E1,2021-2022
2021-08-07,Preston North End,Hull City,7,16,4,5,2,5,9,6,2.0,2.0,,,,,E1,2021-2022
2021-08-07,Queens Park Rangers,Millwall,11,10,4,3,7,5,11,18,0.0,3.0,,,,,E1,2021-2022
2021-08-07,Stoke City,Reading,18,11,6,5,6,9,16,7,0.0,2.0,,,,,E1,2021-2022
2021-08-07,Sheffield United,Birmingham City,16,9,2,2,8,2,3,12,1.0,6.0,,,,,E1,2021-2022
2021-08-08,Fulham,Middlesbrough,16,7,3,1,4,2,14,14,2.0,3.0,,,,,E1,2021-2022
2021-08-08,Coventry City,Nottingham Forest,12,10,6,2,0,5,16,12,4.0,1.0,,,,,E1,2021-2022
2021-08-14,Peterborough United,Derby County,13,7,4,2,2,5,9,13,4.0,2.0,,,,,E1,2021-2022
2021-08-14,Barnsley,Coventry City,8,12,1,2,1,5,16,14,8.0,2.0,,,,,E1,2021-2022
2021-08-14,Birmingham City,Stoke City,9,8,2,2,7,6,7,8,1.0,2.0,,,,,E1,2021-2022
2021-08-14,Blackpool,Cardiff City,8,17,2,8,5,3,9,18,1.0,1.0,,,,,E1,2021-2022
2021-08-14,Huddersfield Town,Fulham,9,15,2,11,5,7,10,9,1.0,1.0,0.0,1.0,,,E1,2021-2022
2021-08-14,Hull City,Queens Park Rangers,12,14,4,8,7,2,6,7,,,1.0,0.0,,,E1,2021-2022
2021-08-14,Middlesbrough,Bristol City,13,10,7,2,1,1,15,13,1.0,1.0,,,,,E1,2021-2022
2021-08-14,Millwall,Blackburn Rovers,15,2,2,1,7,3,10,15,1.0,2.0,,,,,E1,2021-2022
